id;wayb_id;ro_id;ro_date;material_id;mat_desc;unit;del_qty;value;batch;bb_date;weight;volume;rec_qty
1;77283;36526;2023-02-01T20:06:30;neural;driver Cheese Licensed;systems project;46261;95378;Electronics cross-platform;2023-02-02T12:33:55;39189;54987;76460
2;19969;57616;2023-02-01T19:56:28;deposit compressing;Pike upward-trending;generation;75684;41759;Account haptic Circles;2023-02-02T05:09:43;91625;4352;27986
3;56763;90920;2023-02-01T15:56:52;group productivity;repurpose encoding Monitored;Principal digital;86944;92153;Table redundant;2023-02-02T05:35:56;59273;67109;29647
4;41891;25542;2023-02-01T20:50:46;Account digital;Market synthesizing synthesize;driver deliverables engine;61493;98495;extend Dinar;2023-02-02T06:42:41;84534;64291;15287
5;7208;35527;2023-02-02T09:04:39;generating Security array;brand Kiribati monetize;reboot;2758;64980;salmon;2023-02-01T17:30:16;95418;96196;12780
6;89721;75297;2023-02-01T16:11:23;input compress;Avon;Licensed Cambridgeshire;94839;83480;hack Generic;2023-02-01T16:07:24;27936;72059;27931
7;88038;51205;2023-02-02T13:01:03;transmitting;Games Electronics Account;quantify firewall;57670;85964;Metal eyeballs copy;2023-02-02T01:40:12;99408;13059;30023
8;51553;74585;2023-02-02T12:32:39;Tasty Yemeni Versatile;navigating homogeneous Virtual;Cotton invoice;54767;91058;application Investor;2023-02-01T19:53:45;7580;90196;19108
9;44178;86746;2023-02-02T07:39:28;Direct solution Account;Re-contextualized;Dominican;21381;38047;bluetooth initiative Product;2023-02-02T03:20:30;99211;71824;28371
10;72850;22636;2023-02-02T02:04:26;Proactive Washington;New Practical;Berkshire;92335;13977;world-class;2023-02-02T13:30:47;56035;7221;2161
