id;atpe_annee;atpe_mois;atpe_stock;atpe_dispo;atpe_endom;atpe_perime;atpe_rupture;atpe_njour;atpe_magasin;atpe_palette;atpe_position;atpe_hauteur;atpe_personnel;atpe_admission;atpe_sortie;atpe_gueris;atpe_abandon;atpe_poids;atpe_trasnsfert;atpe_parent
1;30257;33805;Ohio Assurance impactful;28;94029;29027;Hat Soap Soft;3012;ivory Baby;interface;Club online Facilitator;1795;Handmade;82670;85149;17857;16506;29530;34910;63258
2;23278;39072;Accountability China Fresh;3669;94300;39800;Generic;66135;generate Principal;Clothing;Customer;10362;Vista methodologies;53453;55112;79825;51857;7260;96264;84223
3;65655;96771;leading-edge Paradigm Intranet;82698;41951;24130;turquoise green;79013;user-centric core Stravenue;SCSI Card;client-driven;65831;Greenland;76420;70320;85385;99150;53745;42084;27957
4;45260;89725;Interactions Assistant;80880;34745;1097;bypass open-source;15816;Towels;wireless supply-chains leverage;digital user-centric schemas;55620;synergy Beauty;1188;50954;99972;2259;12836;25152;4230
5;54355;36887;calculating Nepal Puerto;80139;72408;47756;RAM hierarchy Market;23611;Lock;interface;Account Unbranded;97974;override synthesizing Usability;76323;81372;29121;51464;62540;30625;44425
6;29808;76746;Concrete;39306;38486;77545;compressing;30365;time-frame synthesize Auto;Avenue microchip;drive;27937;matrix utilize Minnesota;48350;55404;91603;48704;58051;49481;74286
7;37603;39386;Directives;44177;66468;77535;bandwidth York;67326;Granite;UIC-Franc Product Internal;Practical neural-net Soap;9378;Computer Intelligent Passage;2263;91457;95022;71433;53573;74125;18934
8;41339;50071;Portugal Texas out-of-the-box;33438;24269;8720;port;84300;e-enable Bacon;Latvia eyeballs Gold;application Rustic Ergonomic;52327;Credit indexing hardware;41274;20756;81199;28169;97912;889;10316
9;45252;42151;Secured;20195;89761;9415;Chair algorithm;40286;payment bypass experiences;deposit Fall online;Generic Dynamic;95603;programming Home;71132;87314;60771;82221;15512;93501;60297
10;4414;35321;Chips plum;66538;99121;18790;Loan auxiliary;18873;leverage Graphic withdrawal;Future;structure;85655;Home asymmetric mint;66387;21208;11041;42488;85098;38159;39404
