id;ro_id;ro_item;ro_date;ro_tdd;material_id;mat_desc;del_qty;value;storage_loc;wh_id;wh_desc;cons_id;cons_name;auth_person;so_id;po_id;delivery;jhi_grant;wbs;pick_status;to_number;trspt_status;wayb_id;trsptr_name;shipmt_ed;gds_status;gds_date;ro_subitem;ro_type;unit;moving_price;plant_id;plant_name;storage_locp;dwh_id;dwh_desc;ship_party;trspt_means;prog_officer;so_items;po_items;trsptr_id;gds_id;gds_item;batch;bb_date;planning_date;checkin_date;shipment_sdate;loading_sdate;loading_edate;ashipment_sdate;shipment_cdate;weight;volume;section;commodity_group;region
1;42818;37389;2023-02-02T11:27:24;2023-02-02T00:15:41;fault-tolerant service-desk open;Washington;62468;76100;80779;66691;e-services Identity;Singapore;Mountain;Outdoors Synchronised;Concrete Generic Metal;Sports lime;70834;deposit;Baby Plastic;deposit Directives Metal;plug-and-play cross-platform;workforce;51280;collaborative teal;2023-02-02T07:51:30;SQL;2023-02-02T08:15:32;26624;Awesome;repurpose e-enable Producer;65147;37934;reboot relationships portals;Handcrafted;Franc;Administrator copy;Investor partnerships neural;Technician;Tasty;78752;91368;Corner envisioneer pink;attitude Bedfordshire Carolina;21404;engage;2023-02-02T03:31:46;2023-02-02T01:43:07;2023-02-01T22:59:52;2023-02-02T07:45:59;2023-02-02T03:38:18;2023-02-02T01:41:21;2023-02-01T21:33:44;2023-02-02T11:13:17;18352;99897;Persistent Fish relationships;secondary;Avon Bhutan
2;76652;268;2023-02-02T04:27:21;2023-02-02T01:56:14;architectures;Clothing;14803;40786;80199;31584;disintermediate Towels generate;Awesome Plastic;IB invoice Licensed;Coves Central Fresh;Ridges;parse;18344;productize Arkansas Account;benchmark;connecting;Summit;cross-platform;19976;Planner Profound utilisation;2023-02-02T08:52:43;channels Concrete;2023-02-02T12:27:53;44878;generate;Pass;46214;79449;Bike;Bangladesh Business-focused;Gorgeous Mali;Small Delaware;Dollar;reboot index Chicken;Multi-channelled;87396;33125;Hat;SDD invoice Afghani;48103;backing circuit Health;2023-02-01T16:49:34;2023-02-02T01:34:37;2023-02-02T13:21:49;2023-02-02T04:40:54;2023-02-02T02:05:55;2023-02-02T04:23:24;2023-02-01T23:49:41;2023-02-01T19:18:24;99789;82897;transmitting Nebraska;Greenland Money;Beauty grey Movies
3;92909;86073;2023-02-02T11:43:59;2023-02-02T06:10:18;Internal;Cambridgeshire blue engine;210;96360;3109;76444;Cheese Guinea Bedfordshire;mission-critical Developer Gorgeous;PCI Tasty Senior;Wooden;methodology repurpose bluetooth;wireless utilisation;95508;Congolese Account;solution Developer Granite;set attitude Granite;Berkshire;quantifying;55365;Tasty Factors;2023-02-02T14:59:34;optimizing intranet;2023-02-02T05:12:59;71447;platforms;Lead sexy Handcrafted;46499;79989;drive wireless;Investment Ports;Dynamic compress;exploit;Congo;Kentucky sky Lead;Towels tangible Movies;69183;20315;visionary;Wooden Exclusive copy;19907;Consultant haptic Engineer;2023-02-02T11:37:57;2023-02-02T12:43:47;2023-02-02T16:10:26;2023-02-02T06:17:29;2023-02-02T11:31:31;2023-02-02T00:57:55;2023-02-01T19:17:34;2023-02-01T16:55:46;87752;73441;Avon scale array;Intelligent strategic;Avon Integration
4;61632;28295;2023-02-01T22:27:08;2023-02-01T20:35:49;Gorgeous alliance;Rubber;52312;47887;45987;60628;Lira;Peso Interactions Hawaii;human-resource Research;Borders purple;back;Engineer generate Berkshire;65783;Planner Buckinghamshire;blue attitude-oriented;Computers;Specialist EXE users;Programmable Clothing challenge;70561;Branding rich;2023-02-02T07:06:53;Gorgeous;2023-02-01T16:40:03;67690;Gorgeous;Director Towels Auto;48092;92302;calculating Chicken;optimize Haven magenta;Inverse;Producer Cotton;architectures Steel drive;array Alaska;Investment Shoes THX;64451;59459;Dynamic Cambridgeshire;markets;53617;capacity;2023-02-01T17:46:51;2023-02-02T14:27:55;2023-02-01T17:50:50;2023-02-01T19:04:57;2023-02-01T23:26:33;2023-02-02T14:35:25;2023-02-02T14:37:56;2023-02-02T04:06:44;19266;64351;granular Gold;Virginia SMS portals;primary
5;88397;69201;2023-02-02T07:07:01;2023-02-01T19:43:40;incremental;invoice deposit;99806;99165;42948;16781;reboot matrix;Burkina scale;Customer copy JBOD;Franc Regional;navigate;world-class dynamic bandwidth;9149;microchip Toys web;FTP Soft magenta;Antigua Peso;Soft;cross-platform enterprise Ranch;74459;Kansas;2023-02-01T19:45:14;Buckinghamshire Bacon;2023-02-01T18:56:07;76253;Keyboard Accounts Shilling;Dollar;86472;10286;Handcrafted blockchains;bypassing Infrastructure;Dynamic green;Human;Cambridgeshire withdrawal;Nevada scalable York;Mills red Carolina;20177;79448;B2C;compressing;10878;SMS Interface Soft;2023-02-01T23:22:22;2023-02-02T09:09:33;2023-02-01T19:34:10;2023-02-01T17:35:40;2023-02-02T12:09:55;2023-02-02T05:46:08;2023-02-02T15:52:32;2023-02-02T15:33:55;16854;82441;connecting Russian Table;Cambridgeshire;Account Practical Cloned
6;27855;20639;2023-02-02T00:49:42;2023-02-01T20:43:32;mindshare groupware Chicken;Chair Electronics;63945;53620;61852;1649;Handmade Garden;withdrawal;Fresh Savings markets;Avon haptic Specialist;Jersey;systems Common circuit;52659;Persistent Azerbaijanian static;International India;override;ubiquitous Investor;driver SQL Response;26645;HDD;2023-02-02T11:26:22;Visionary;2023-02-02T01:07:29;50451;Frozen;Lakes;60692;94677;Research Ergonomic;Tools;Regional Loan sky;mint;Frozen;driver;Planner Cyprus exploit;58926;67305;withdrawal Officer Forward;SMTP XML;69065;transitional Jordan;2023-02-02T04:36:59;2023-02-02T08:39:16;2023-02-02T15:04:30;2023-02-02T13:12:59;2023-02-02T07:19:03;2023-02-01T17:58:14;2023-02-01T20:35:58;2023-02-02T00:01:38;15159;12460;synergies capacity;District;Personal
7;61893;81832;2023-02-02T03:40:13;2023-02-01T19:54:43;Executive Outdoors Integrated;Borders;70392;80338;285;45254;Handcrafted;redundant;morph;seize Markets Handmade;generating;Regional framework;54727;Toys invoice;GB invoice;driver mission-critical;Customizable architectures;Analyst Soft;35254;solid Buckinghamshire;2023-02-01T18:42:53;Tasty sexy;2023-02-02T09:42:17;25482;Gloves withdrawal blue;Clothing Peso Table;67226;68734;copy Mayotte;Central;Technician;yellow;static SDD projection;Tanzania Angola Bolivia;SMTP;60029;2678;driver THX compress;leading-edge Movies Savings;37214;redundant;2023-02-02T11:07:19;2023-02-02T01:13:51;2023-02-02T03:14:15;2023-02-02T13:57:39;2023-02-01T20:46:42;2023-02-02T14:32:48;2023-02-02T10:33:59;2023-02-02T06:53:54;12474;65254;Rubber;Soft;24
8;80153;47385;2023-02-02T11:20:40;2023-02-01T20:58:54;Optimization Fresh Bahrain;matrix eyeballs;78178;415;38206;45810;online;hacking Intranet embrace;Ferry optimal Health;withdrawal Creative back-end;Account withdrawal;Metal Nevada;87656;Forward;Extended;Wooden;synthesize Plastic;Kids invoice Networked;7482;CSS Spur Rubber;2023-02-02T03:34:11;navigating Handmade;2023-02-02T06:21:08;16003;Bedfordshire;Lead Handcrafted;26717;23596;Soft ROI e-markets;Refined capacitor;lavender Electronics Steel;Realigned Forint;Savings Garden;Creative Spain;Licensed withdrawal;78436;11529;relationships Chief;Officer;36210;firewall;2023-02-02T09:08:40;2023-02-02T07:24:15;2023-02-02T13:21:57;2023-02-02T05:42:15;2023-02-02T04:48:01;2023-02-01T22:57:41;2023-02-02T14:24:44;2023-02-02T13:15:39;99868;58249;Hampshire;e-markets American;Sleek
9;86697;92246;2023-02-02T03:38:50;2023-02-01T19:21:58;cross-platform Shoes;Colombia infomediaries;3164;60399;34998;58529;didactic Automated communities;Kids channels;orchid;bypassing Cotton;deploy;Ball Bike holistic;80949;sensor indigo Rustic;Brunei Engineer Liaison;Distributed Pennsylvania Handmade;systematic;neural Chair Arkansas;30280;ability;2023-02-02T03:34:47;Integration azure Hawaii;2023-02-02T08:38:58;96034;invoice Arabia;efficient Borders;8715;50620;didactic District;calculating Sausages Credit;sticky;challenge;Communications Haiti;Ariary of;CFP digital;82833;49204;Borders;fault-tolerant Diverse Ridge;46065;Re-engineered;2023-02-01T18:09:52;2023-02-02T08:28:22;2023-02-02T00:55:28;2023-02-02T14:29:21;2023-02-02T12:13:16;2023-02-02T09:04:10;2023-02-02T00:50:27;2023-02-02T04:55:38;31843;18183;hack Analyst;reboot;Tasty compress Associate
10;27973;48820;2023-02-02T00:40:36;2023-02-02T13:57:59;collaborative Cheese;Unbranded Lats Gorgeous;91837;1064;31653;41609;withdrawal;hack Fresh tertiary;reboot Car Designer;interface web;open-source architectures;Facilitator;67184;Market metrics;Consultant Distributed;digital Saint;program auxiliary Strategist;Bedfordshire Solutions;15342;Lesotho;2023-02-02T06:09:40;Orchestrator Fresh Avon;2023-02-01T19:30:43;45415;auxiliary;monitoring infrastructure backing;23184;63040;core Glens;revolutionary EXE Washington;exploit;Account Central Points;Computers;Ergonomic calculate ADP;Executive enable;18989;64929;Bedfordshire Sleek scale;Assistant Cambridgeshire Lake;51803;Agent maroon;2023-02-02T06:36:06;2023-02-02T05:12:49;2023-02-01T20:12:11;2023-02-02T12:29:57;2023-02-02T14:04:37;2023-02-02T12:57:23;2023-02-02T07:04:03;2023-02-02T03:26:08;20951;32874;Outdoors e-enable;Identity Division;Corporate Parks Lead
