id;nom_partenaire;autre_nom;log_phone;email_partenaire;loc_partenaire
1;Won Incredible;Mauritius;Handmade Court;capacitor;Technician Organized Flat
2;Soft microchip;Handcrafted synthesize Salad;bypass bypass Tuna;Analyst vortals;Steel Intuitive Human
3;Phased parse;transmitter Poland;Borders communities;bluetooth Islands Borders;facilitate solutions Idaho
4;Antarctica;Dynamic white;microchip;Rustic;National Credit driver
5;Global;Texas Alaska emulation;content;interactive Public-key;evolve
6;THX UIC-Franc;Angola;Central Shirt;challenge;Bedfordshire Director Human
7;Kentucky;Kids Parks;Group metrics;Future Data;transmitter Shirt panel
8;Account;high-level;Automotive Fantastic;Usability;Kentucky Incredible Granite
9;SMTP Assurance multi-byte;Table Clothing neural;extend;Enterprise-wide;Creek indigo Meadow
10;Refined National ivory;back-end mesh;hardware Fresh navigate;zero extend Handcrafted;Synergized generate Central
