id;nom_pos;pos_lon;pos_lat;pos_contact;pos_gsm
1;navigating Specialist;71223;93158;Cambridgeshire Mandatory;Chicken portals Corporate
2;connecting;94932;14268;Metal Supervisor multi-byte;real-time
3;Loan SMS protocol;52322;77629;Mobility;Frozen Infrastructure
4;SDD;56233;39024;firewall Intelligent;Colorado violet Licensed
5;Intelligent salmon;2589;88;open-source Berkshire;green COM state
6;extensible navigating;9377;82722;Rustic Refined Director;Extended copy
7;Tactics maroon;97904;20758;Kentucky Minnesota generate;Health
8;Cambridgeshire Reverse-engineered middleware;45831;96132;Outdoors Cheese Account;program
9;Books Chips Texas;5115;57762;applications Hat;Hat
10;Investor;33723;38249;Sheqel;customized generate architect
