id;nom_pf;fonction_pf;gsm_pf;email_pf
1;lavender Dollar Court;Optimization blockchains;Forest neural Tuna;bandwidth
2;CSS Fantastic input;input markets Rustic;Ethiopia hierarchy;Hill
3;Kids COM website;architectures;Central;Grocery
4;navigating needs-based;Islands;RAM SQL deposit;Advanced systems Kwacha
5;system input;Senior Generic override;Human alarm Legacy;Communications
6;Garden Trace;Loan Small Awesome;Games;Computer redundant
7;Fully-configurable;overriding multi-byte;metrics Account Buckinghamshire;payment leading Central
8;Plastic;SMS Frozen;concept;Wooden
9;Market Soft;foreground circuit Andorra;Hawaii Central;Towels Focused
10;Dynamic Mandatory auxiliary;invoice schemas;SDD;IB Representative
