id;nom_transporteur;nom_directeur;phone_transporteur;email_transporteur
1;Account Borders blue;Pants Soap redundant;convergence;Money Beauty Chips
2;Cambridgeshire Curve installation;Cotton Directives payment;magnetic Pants;Fresh
3;Interactions;Mouse Towels generate;Comoro Integration;AI technologies firewall
4;Specialist 4th;Vermont RAM Administrator;Avon;Belize Rustic
5;Marketing Shirt cross-platform;Games;Forward Global Soft;Streamlined Cambridgeshire
6;Auto neural-net Soft;Auto Future;Station structure;Pants Cotton
7;SQL Director one-to-one;Wisconsin;intranet capacitor;high-level world-class Guernsey
8;deposit;payment;Account;SDD Orchestrator deposit
9;hierarchy;Latvian Industrial indigo;matrix platforms;sensor Interface CSS
10;transmit;Cuban Forward;implementation Awesome;quantify Specialist CSS
