id;ro_id;ro_item;ro_date;ro_tdd;material_id;mat_desc;del_qty;value;storage_loc;wh_id;wh_desc;cons_id;cons_name;auth_person;so_id;po_id;delivery;jhi_grant;wbs;pick_status;to_number;trspt_status;wayb_id;trsptr_name;shipmt_ed;gds_status;gds_date;ro_subitem;ro_type;unit;moving_price;plant_id;plant_name;storage_locp;dwh_id;dwh_desc;ship_party;trspt_means;prog_officer;so_items;po_items;trsptr_id;gds_id;gds_item;batch;bb_date;planning_date;checkin_date;shipment_sdate;loading_sdate;loading_edate;ashipment_sdate;shipment_cdate;weight;volume;section;commodity_group;region
1;42818;37389;2023-02-02T11:33:23;2023-02-02T00:21:40;fault-tolerant service-desk open;Washington;62468;76100;80779;66691;e-services Identity;Singapore;Mountain;Outdoors Synchronised;Concrete Generic Metal;Sports lime;70834;deposit;Baby Plastic;deposit Directives Metal;plug-and-play cross-platform;workforce;51280;collaborative teal;2023-02-02T07:57:29;SQL;2023-02-02T08:21:31;26624;Awesome;repurpose e-enable Producer;65147;37934;reboot relationships portals;Handcrafted;Franc;Administrator copy;Investor partnerships neural;Technician;Tasty;78752;91368;Corner envisioneer pink;attitude Bedfordshire Carolina;21404;engage;2023-02-02T03:37:45;2023-02-02T01:49:06;2023-02-01T23:05:51;2023-02-02T07:51:58;2023-02-02T03:44:17;2023-02-02T01:47:20;2023-02-01T21:39:43;2023-02-02T11:19:16;18352;99897;Persistent Fish relationships;secondary;Avon Bhutan
2;76652;268;2023-02-02T04:33:20;2023-02-02T02:02:13;architectures;Clothing;14803;40786;80199;31584;disintermediate Towels generate;Awesome Plastic;IB invoice Licensed;Coves Central Fresh;Ridges;parse;18344;productize Arkansas Account;benchmark;connecting;Summit;cross-platform;19976;Planner Profound utilisation;2023-02-02T08:58:42;channels Concrete;2023-02-02T12:33:52;44878;generate;Pass;46214;79449;Bike;Bangladesh Business-focused;Gorgeous Mali;Small Delaware;Dollar;reboot index Chicken;Multi-channelled;87396;33125;Hat;SDD invoice Afghani;48103;backing circuit Health;2023-02-01T16:55:33;2023-02-02T01:40:36;2023-02-02T13:27:48;2023-02-02T04:46:53;2023-02-02T02:11:54;2023-02-02T04:29:23;2023-02-01T23:55:40;2023-02-01T19:24:23;99789;82897;transmitting Nebraska;Greenland Money;Beauty grey Movies
3;92909;86073;2023-02-02T11:49:58;2023-02-02T06:16:17;Internal;Cambridgeshire blue engine;210;96360;3109;76444;Cheese Guinea Bedfordshire;mission-critical Developer Gorgeous;PCI Tasty Senior;Wooden;methodology repurpose bluetooth;wireless utilisation;95508;Congolese Account;solution Developer Granite;set attitude Granite;Berkshire;quantifying;55365;Tasty Factors;2023-02-02T15:05:33;optimizing intranet;2023-02-02T05:18:58;71447;platforms;Lead sexy Handcrafted;46499;79989;drive wireless;Investment Ports;Dynamic compress;exploit;Congo;Kentucky sky Lead;Towels tangible Movies;69183;20315;visionary;Wooden Exclusive copy;19907;Consultant haptic Engineer;2023-02-02T11:43:56;2023-02-02T12:49:46;2023-02-02T16:16:25;2023-02-02T06:23:28;2023-02-02T11:37:30;2023-02-02T01:03:54;2023-02-01T19:23:33;2023-02-01T17:01:45;87752;73441;Avon scale array;Intelligent strategic;Avon Integration
4;61632;28295;2023-02-01T22:33:07;2023-02-01T20:41:48;Gorgeous alliance;Rubber;52312;47887;45987;60628;Lira;Peso Interactions Hawaii;human-resource Research;Borders purple;back;Engineer generate Berkshire;65783;Planner Buckinghamshire;blue attitude-oriented;Computers;Specialist EXE users;Programmable Clothing challenge;70561;Branding rich;2023-02-02T07:12:52;Gorgeous;2023-02-01T16:46:02;67690;Gorgeous;Director Towels Auto;48092;92302;calculating Chicken;optimize Haven magenta;Inverse;Producer Cotton;architectures Steel drive;array Alaska;Investment Shoes THX;64451;59459;Dynamic Cambridgeshire;markets;53617;capacity;2023-02-01T17:52:50;2023-02-02T14:33:54;2023-02-01T17:56:49;2023-02-01T19:10:56;2023-02-01T23:32:32;2023-02-02T14:41:24;2023-02-02T14:43:55;2023-02-02T04:12:43;19266;64351;granular Gold;Virginia SMS portals;primary
5;88397;69201;2023-02-02T07:13:00;2023-02-01T19:49:39;incremental;invoice deposit;99806;99165;42948;16781;reboot matrix;Burkina scale;Customer copy JBOD;Franc Regional;navigate;world-class dynamic bandwidth;9149;microchip Toys web;FTP Soft magenta;Antigua Peso;Soft;cross-platform enterprise Ranch;74459;Kansas;2023-02-01T19:51:13;Buckinghamshire Bacon;2023-02-01T19:02:06;76253;Keyboard Accounts Shilling;Dollar;86472;10286;Handcrafted blockchains;bypassing Infrastructure;Dynamic green;Human;Cambridgeshire withdrawal;Nevada scalable York;Mills red Carolina;20177;79448;B2C;compressing;10878;SMS Interface Soft;2023-02-01T23:28:21;2023-02-02T09:15:32;2023-02-01T19:40:09;2023-02-01T17:41:39;2023-02-02T12:15:54;2023-02-02T05:52:07;2023-02-02T15:58:31;2023-02-02T15:39:54;16854;82441;connecting Russian Table;Cambridgeshire;Account Practical Cloned
6;27855;20639;2023-02-02T00:55:41;2023-02-01T20:49:31;mindshare groupware Chicken;Chair Electronics;63945;53620;61852;1649;Handmade Garden;withdrawal;Fresh Savings markets;Avon haptic Specialist;Jersey;systems Common circuit;52659;Persistent Azerbaijanian static;International India;override;ubiquitous Investor;driver SQL Response;26645;HDD;2023-02-02T11:32:21;Visionary;2023-02-02T01:13:28;50451;Frozen;Lakes;60692;94677;Research Ergonomic;Tools;Regional Loan sky;mint;Frozen;driver;Planner Cyprus exploit;58926;67305;withdrawal Officer Forward;SMTP XML;69065;transitional Jordan;2023-02-02T04:42:58;2023-02-02T08:45:15;2023-02-02T15:10:29;2023-02-02T13:18:58;2023-02-02T07:25:02;2023-02-01T18:04:13;2023-02-01T20:41:57;2023-02-02T00:07:37;15159;12460;synergies capacity;District;Personal
7;61893;81832;2023-02-02T03:46:12;2023-02-01T20:00:42;Executive Outdoors Integrated;Borders;70392;80338;285;45254;Handcrafted;redundant;morph;seize Markets Handmade;generating;Regional framework;54727;Toys invoice;GB invoice;driver mission-critical;Customizable architectures;Analyst Soft;35254;solid Buckinghamshire;2023-02-01T18:48:52;Tasty sexy;2023-02-02T09:48:16;25482;Gloves withdrawal blue;Clothing Peso Table;67226;68734;copy Mayotte;Central;Technician;yellow;static SDD projection;Tanzania Angola Bolivia;SMTP;60029;2678;driver THX compress;leading-edge Movies Savings;37214;redundant;2023-02-02T11:13:18;2023-02-02T01:19:50;2023-02-02T03:20:14;2023-02-02T14:03:38;2023-02-01T20:52:41;2023-02-02T14:38:47;2023-02-02T10:39:58;2023-02-02T06:59:53;12474;65254;Rubber;Soft;24
8;80153;47385;2023-02-02T11:26:39;2023-02-01T21:04:53;Optimization Fresh Bahrain;matrix eyeballs;78178;415;38206;45810;online;hacking Intranet embrace;Ferry optimal Health;withdrawal Creative back-end;Account withdrawal;Metal Nevada;87656;Forward;Extended;Wooden;synthesize Plastic;Kids invoice Networked;7482;CSS Spur Rubber;2023-02-02T03:40:10;navigating Handmade;2023-02-02T06:27:07;16003;Bedfordshire;Lead Handcrafted;26717;23596;Soft ROI e-markets;Refined capacitor;lavender Electronics Steel;Realigned Forint;Savings Garden;Creative Spain;Licensed withdrawal;78436;11529;relationships Chief;Officer;36210;firewall;2023-02-02T09:14:39;2023-02-02T07:30:14;2023-02-02T13:27:56;2023-02-02T05:48:14;2023-02-02T04:54:00;2023-02-01T23:03:40;2023-02-02T14:30:43;2023-02-02T13:21:38;99868;58249;Hampshire;e-markets American;Sleek
9;86697;92246;2023-02-02T03:44:49;2023-02-01T19:27:57;cross-platform Shoes;Colombia infomediaries;3164;60399;34998;58529;didactic Automated communities;Kids channels;orchid;bypassing Cotton;deploy;Ball Bike holistic;80949;sensor indigo Rustic;Brunei Engineer Liaison;Distributed Pennsylvania Handmade;systematic;neural Chair Arkansas;30280;ability;2023-02-02T03:40:46;Integration azure Hawaii;2023-02-02T08:44:57;96034;invoice Arabia;efficient Borders;8715;50620;didactic District;calculating Sausages Credit;sticky;challenge;Communications Haiti;Ariary of;CFP digital;82833;49204;Borders;fault-tolerant Diverse Ridge;46065;Re-engineered;2023-02-01T18:15:51;2023-02-02T08:34:21;2023-02-02T01:01:27;2023-02-02T14:35:20;2023-02-02T12:19:15;2023-02-02T09:10:09;2023-02-02T00:56:26;2023-02-02T05:01:37;31843;18183;hack Analyst;reboot;Tasty compress Associate
10;27973;48820;2023-02-02T00:46:35;2023-02-02T14:03:58;collaborative Cheese;Unbranded Lats Gorgeous;91837;1064;31653;41609;withdrawal;hack Fresh tertiary;reboot Car Designer;interface web;open-source architectures;Facilitator;67184;Market metrics;Consultant Distributed;digital Saint;program auxiliary Strategist;Bedfordshire Solutions;15342;Lesotho;2023-02-02T06:15:39;Orchestrator Fresh Avon;2023-02-01T19:36:42;45415;auxiliary;monitoring infrastructure backing;23184;63040;core Glens;revolutionary EXE Washington;exploit;Account Central Points;Computers;Ergonomic calculate ADP;Executive enable;18989;64929;Bedfordshire Sleek scale;Assistant Cambridgeshire Lake;51803;Agent maroon;2023-02-02T06:42:05;2023-02-02T05:18:48;2023-02-01T20:18:10;2023-02-02T12:35:56;2023-02-02T14:10:36;2023-02-02T13:03:22;2023-02-02T07:10:02;2023-02-02T03:32:07;20951;32874;Outdoors e-enable;Identity Division;Corporate Parks Lead
